source_file,geometry_type,radius_mm,planner,ctrl_hz,fb_hz,duration_sec,n_samples,ee_rms_err_mm,start_idx,end_idx_exclusive
spiral_r114mm_az-45el0_cxn155cy224cz331_quintic_poly_ctrlmax_fbmax_001.json,spiral,113.5084,Quintic Poly,303.746,303.749,39.2604,11664,17.3832,0,11664
rectangle_r76mm_xz_cx66cyn265cz275_quintic_poly_ctrlmax_fbmax_001.json,rectangle,75.8069,Quintic Poly,303.773,303.77,13.911,4139,13.3897,11664,15803
circle_r135mm_az118el16_cxn204cy205cz265_cubic_poly_ctrlmax_fb240hz_001.json,circle,135.0263,Cubic Poly,1108.11,245.921,10.7717,2535,27.4541,15803,18338
helix_r62mm_yz_cxn264cy115cz151_ruckig_ctrlmax_fbmax_001.json,helix,61.5663,Ruckig,305.43,305.431,12.8692,3852,18.1554,18338,22190
triangle_r140mm_yz_cxn164cyn130cz255_ruckig_ctrlmax_fbmax_001.json,triangle,139.9942,Ruckig,303.906,303.905,8.82839,2634,9.30426,22190,24824
circle_r50mm_xz_cxn274cy205cz175_ruckig_ctrlmax_fbmax_001.json,circle,50.0505,Ruckig,302.558,302.557,6.77797,2018,18.2464,24824,26842
parabola_r198mm_az-149el29_cxn154cyn144cz354_ruckig_ctrlmax_fb240hz_001.json,parabola,198.0001,Ruckig,1157.81,242.186,9.97037,2346,17.1436,26842,29188
helix_r123mm_az-149el29_cxn203cyn158cz266_quintic_poly_ctrlmax_fb240hz_001.json,helix,123.1407,Quintic Poly,1111.72,245.747,50.8009,11950,14.3124,29188,41138
sine_wave_r100mm_yz_cx236cyn65cz189_ruckig_ctrlmax_fbmax_001.json,sine_wave,100.0921,Ruckig,305.376,305.379,7.76689,2326,13.9256,41138,43464
ellipse_r140mm_az-149el29_cxn209cyn160cz255_ruckig_ctrlmax_fb240hz_001.json,ellipse,140.0132,Ruckig,1150.65,242.189,8.86482,2087,16.5088,43464,45551
parabola_r81mm_az30el0_cx226cy95cz369_quintic_poly_ctrlmax_fbmax_001.json,parabola,81.274,Quintic Poly,305.769,305.77,5.83594,1747,21.1677,45551,47298
helix_r123mm_az-150el0_cxn164cyn130cz298_ruckig_ctrlmax_fbmax_001.json,helix,123.1435,Ruckig,303.514,303.513,17.8042,5301,12.2685,47298,52599
helix_r57mm_xz_cx66cyn265cz281_quintic_poly_ctrlmax_fbmax_001.json,helix,57.1686,Quintic Poly,303.795,303.81,16.4865,4903,16.338,52599,57502
parabola_r87mm_xz_cxn214cy205cz271_ruckig_ctrlmax_fbmax_001.json,parabola,87.0592,Ruckig,303.809,303.819,4.57622,1361,20.2032,57502,58863
spiral_r75mm_xz_cxn214cy205cz233_ruckig_ctrlmax_fbmax_001.json,spiral,74.7327,Ruckig,304.243,304.24,11.8478,3526,15.8498,58863,62389
helix_r62mm_yz_cx215cy35cz336_trapezoidal_ctrlmax_fbmax_001.json,helix,61.5663,Trapezoidal,304.287,304.29,11.272,3358,11.6991,62389,65747
lissajous_r84mm_xz_cxn94cyn105cz365_ruckig_ctrlmax_fbmax_001.json,lissajous,83.6802,Ruckig,300.879,300.883,23.1181,6876,7.01489,65747,72623
circle_r75mm_xz_cxn94cyn105cz365_ruckig_ctrlmax_fbmax_001.json,circle,75.007,Ruckig,304.703,304.703,13.7097,4081,5.87796,72623,76704
parabola_r116mm_yz_cxn264cy115cz186_quintic_bezier_ctrlmax_fbmax_001.json,parabola,116.1049,Quintic Bezier,304.189,304.188,4.83044,1447,13.7663,76704,78151
triangle_r75mm_xz_cxn214cy205cz240_ruckig_ctrlmax_fbmax_001.json,triangle,75.0003,Ruckig,302.902,302.904,9.37472,2790,13.281,78151,80941
spiral_r75mm_xz_cxn94cyn105cz358_ruckig_ctrlmax_fbmax_001.json,spiral,74.7724,Ruckig,303.677,303.674,22.5653,6712,5.47745,80941,87653
