J1,J2,J3,J4,J5
-0.00000000,-0.00000000,0.24328192,0.00771617,0.05979363
-0.00000000,-0.00000000,0.23339242,0.00719417,0.05722853
-0.00000000,-0.00000000,0.22368731,0.00668616,0.05471291
-0.00000000,-0.00000000,0.21416658,0.00619216,0.05224676
-0.00000000,-0.00000000,0.20483024,0.00571215,0.04983009
-0.00000000,-0.00000000,0.19567831,0.00524614,0.04746288
-0.00000000,-0.00000000,0.18671075,0.00479414,0.04514516
-0.00000000,-0.00000000,0.17792757,0.00435613,0.04287691
-0.00000000,-0.00000000,0.16932879,0.00393213,0.04065813
-0.00000000,-0.00000000,0.16091439,0.00352212,0.03848883
-0.00000000,-0.00000000,0.15268439,0.00312612,0.03636900
-0.00000000,-0.00000000,0.14463876,0.00274411,0.03429865
-0.00000000,-0.00000000,0.13677754,0.00237611,0.03227777
-0.00000000,-0.00000000,0.12910070,0.00202210,0.03030637
-0.00000000,-0.00000000,0.12160823,0.00168209,0.02838444
-0.00000000,-0.00000000,0.11430016,0.00135609,0.02651198
-0.00000000,-0.00000000,0.10717648,0.00104408,0.02468900
-0.00000000,-0.00000000,0.10023719,0.00074608,0.02291550
-0.00000000,-0.00000000,0.09348228,0.00046207,0.02119146
-0.00000000,-0.00000000,0.08691176,0.00019207,0.01951691
-0.00000000,-0.00000000,0.08052563,-0.00006394,0.01789182
-0.00000000,-0.00000000,0.07432389,-0.00030594,0.01631621
-0.00000000,-0.00000000,0.06830653,-0.00053395,0.01479008
-0.00000000,-0.00000000,0.06247356,-0.00074796,0.01331342
-0.00000000,-0.00000000,0.05682498,-0.00094796,0.01188624
-0.00000000,-0.00000000,0.05136079,-0.00113397,0.01050853
-0.00000000,-0.00000000,0.04608098,-0.00130597,0.00918029
-0.00000000,-0.00000000,0.04098557,-0.00146398,0.00790153
-0.00000000,-0.00000000,0.03607453,-0.00160799,0.00667224
-0.00000000,-0.00000000,0.03134789,-0.00173799,0.00549243
0.00000000,-0.00000000,0.02680564,-0.00185400,0.00436209
0.00000000,-0.00000000,0.02244777,-0.00195600,0.00328122
0.00000000,0.00000000,0.01827429,-0.00204401,0.00224983
0.00000000,0.00000000,0.01428520,-0.00211801,0.00126792
0.00000000,0.00000000,0.01048049,-0.00217802,0.00033547
0.00000000,0.00000000,0.00686018,-0.00222403,-0.00054749
0.00000000,0.00000000,0.00342425,-0.00225603,-0.00138098
0.00000000,0.00000000,0.00017271,-0.00227404,-0.00216500
0.00000000,0.00000000,-0.00289445,-0.00227804,-0.00289955
0.00000000,0.00000000,-0.00577721,-0.00226805,-0.00358461
0.00000000,0.00000000,-0.00847559,-0.00224406,-0.00422021
0.00000000,0.00000000,-0.01098958,-0.00220606,-0.00480633
0.00000000,0.00000000,-0.01331919,-0.00215407,-0.00534298
0.00000000,0.00000000,-0.01546440,-0.00208807,-0.00583015
0.00000000,0.00000000,-0.01742523,-0.00200808,-0.00626784
0.00000000,0.00000000,-0.01920167,-0.00191409,-0.00665607
0.00000000,0.00000000,-0.01817449,-0.00229270,-0.00447974
0.00000000,0.00000000,-0.01621916,-0.00255499,-0.00268997
0.00000000,0.00000000,-0.01419255,-0.00270874,-0.00141117
0.00000000,0.00000000,-0.01218259,-0.00276150,-0.00077594
0.00000000,0.00000000,-0.01028447,-0.00272065,-0.00000000
0.00000000,0.00000000,-0.00860062,-0.00336931,-0.00000000
0.00000000,0.00000000,-0.00724110,-0.00457379,-0.00000000
0.00000000,0.00000000,-0.00539858,-0.00543257,-0.00000000
0.00000000,0.00000000,-0.00396606,-0.00674465,-0.00000000
0.00000000,0.00000000,-0.00306854,-0.00761592,-0.00000000
0.00000000,0.00000000,-0.00191401,-0.00885260,-0.00000000
0.00000000,0.00000000,-0.00141117,-0.01034346,-0.00000000
0.00000000,0.00000000,-0.00077594,-0.01120894,-0.00000000
0.00000000,0.00000000,0.00000000,-0.01149348,-0.00000000
0.00000000,0.00000000,0.00000000,-0.01124041,-0.00000000
0.00000000,0.00000000,0.00000000,-0.01126785,-0.00000000
0.00000000,0.00000000,0.00077594,-0.01070021,-0.00000000
0.00000000,0.00000000,0.00141117,-0.00958573,-0.00000000
0.00000000,0.00000000,0.00191401,-0.00797131,-0.00000000
0.00000000,0.00000000,0.00229261,-0.00590256,-0.00000000
0.00000000,0.00000000,0.00255490,-0.00419970,-0.00000000
0.00000000,0.00000000,0.00270863,-0.00198900,-0.00000000
0.00000000,0.00000000,0.00276139,-0.00009633,-0.00000000
0.00000000,0.00000000,0.00272054,0.00234652,-0.00000000
0.00000000,0.00000000,0.00259328,0.00528431,-0.00000000
0.00000000,0.00000000,0.00238659,0.00866351,-0.00000000
0.00000000,0.00000000,0.00210730,0.01243229,-0.00000000
0.00000000,0.00000000,0.00176203,0.01654051,-0.00000000
0.00000000,0.00000000,0.00135720,0.02093975,-0.00000000
0.00000000,0.00000000,0.00089905,0.02558328,-0.00000000
0.00000000,0.00000000,0.00039365,0.03042607,-0.00000000
0.00000000,0.00000000,-0.00015314,0.03542481,-0.00000000
0.00000000,0.00000000,-0.00073565,0.04053788,-0.00000000
0.00000000,0.00000000,-0.00134840,0.04572536,-0.00000000
0.00000000,0.00000000,-0.00198608,0.05094904,-0.00000000
0.00000000,0.00000000,-0.00264359,0.05617241,-0.00000000
0.00000000,0.00000000,-0.00331601,0.06136066,-0.00000000
0.00000000,0.00000000,-0.00399861,0.06648068,-0.00000000
0.00000000,0.00000000,-0.00468685,0.07150108,-0.00000000
0.00000000,0.00000000,-0.00537638,0.07639215,-0.00000000
0.00000000,0.00000000,-0.00606304,0.08112590,-0.00000000
0.00000000,0.00000000,-0.00674285,0.08567602,-0.00000000
0.00000000,0.00000000,-0.00741204,0.09001794,-0.00000000
0.00000000,0.00000000,-0.00806700,0.09412875,-0.00000000
0.00000000,0.00000000,-0.00870434,0.09798727,-0.00000000
0.00000000,0.00000000,-0.00932083,0.10157402,-0.00000000
0.00000000,0.00000000,-0.00991346,0.10487121,-0.00000000
0.00000000,0.00000000,-0.01047937,0.10786276,-0.00000000
0.00000000,0.00000000,-0.01101593,0.11053430,-0.00000000
0.00000000,0.00000000,-0.01152067,0.11287316,-0.00000000
0.00000000,0.00000000,-0.01199133,0.11486835,-0.00000000
0.00000000,0.00000000,-0.01242582,0.11651061,-0.00000000
0.00000000,0.00000000,-0.01282226,0.11779238,-0.00000000
0.00000000,0.00000000,-0.01317893,0.11870779,-0.00000000
0.00000000,0.00000000,-0.01349433,0.11847673,-0.00000000
0.00000000,0.00000000,-0.01299120,0.11801340,-0.00000000
0.00000000,0.00000000,-0.01258504,0.11730872,-0.00000000
0.00000000,0.00000000,-0.01226658,0.11635550,-0.00000000
0.00000000,0.00000000,-0.01202695,0.11514843,-0.00000000
0.00000000,0.00000000,-0.01108167,0.11368413,-0.00000000
0.00000000,0.00000000,-0.01033927,0.11196107,-0.00000000
0.00000000,0.00000000,-0.00900773,0.10997963,-0.00000000
0.00000000,0.00000000,-0.00798819,0.10774208,-0.00000000
0.00000000,0.00000000,-0.00648143,0.10447662,-0.00000000
0.00000000,0.00000000,-0.00538160,0.10110597,-0.00000000
0.00000000,0.00000000,-0.00388267,0.09685383,-0.00000000
0.00000000,0.00000000,-0.00287216,0.09263854,-0.00000000
0.00000000,0.00000000,-0.00153757,0.08767964,-0.00000000
0.00000000,0.00000000,-0.00076023,0.08211555,-0.00000000
0.00000000,0.00000000,0.00027836,0.07607862,-0.00000000
0.00000000,0.00000000,0.00070278,0.07047136,-0.00000000
0.00000000,0.00000000,0.00056129,0.06449796,-0.00000000
-0.00077595,0.00000000,0.00067653,0.05828211,-0.00000000
-0.00141120,0.00000000,0.00095303,0.05271794,-0.00000000
-0.00191405,0.00000000,0.00052614,0.04700167,-0.00000000
-0.00229265,0.00000000,0.00023046,0.04124945,-0.00000000
-0.00255494,0.00000000,-0.00079391,0.03634824,-0.00000000
-0.00270869,0.00000000,-0.00170785,0.03148748,-0.00000000
-0.00276144,0.00000000,-0.00259096,0.02755278,-0.00000000
-0.00272059,0.00000000,-0.00429255,0.02450840,-0.00000000
-0.00336927,0.00000000,-0.00596322,0.02232237,-0.00000000
-0.00379782,0.00000000,-0.00844875,0.02019055,-0.00000000
-0.00402138,0.00000000,-0.01089639,0.01822923,-0.00000000
-0.00405469,0.00000000,-0.01414864,0.01655020,-0.00000000
-0.00468809,0.00000000,-0.01734973,0.01603683,-0.00000000
-0.00501891,0.00000000,-0.02133930,0.01587570,-0.00000000
-0.00506911,0.00000000,-0.02525894,0.01695037,-0.00000000
-0.00563600,0.00000000,-0.02994586,0.01844780,-0.00000000
-0.00582374,0.00000000,-0.03453935,0.02032692,-0.00000000
-0.00566088,0.00000000,-0.03909859,0.02331868,-0.00000000
-0.00595120,0.00000000,-0.04445359,0.02660667,-0.00000000
-0.00580507,0.00000000,-0.04973685,0.03107158,-0.00000000
-0.00603308,0.00000000,-0.05500106,0.03589776,-0.00000000
-0.00575222,0.00000000,-0.06107023,0.04196684,-0.00000000
-0.00500356,0.00000000,-0.06707121,0.04846431,-0.00000000
-0.00460296,0.00000000,-0.07382736,0.05627314,-0.00000000
-0.00367254,0.00000000,-0.08046513,0.06443108,-0.00000000
