J1,J2,J3,J4,J5
-0.00939585,-0.66209906,0.07597047,0.07293368,0.15742677
-0.00699036,-0.66283453,0.05418000,0.07338310,0.15400626
-0.00478935,-0.66357678,0.03381700,0.07382291,0.15075053
-0.00279017,-0.66432661,0.01483198,0.07425391,0.14765255
-0.00099022,-0.66508478,-0.00282457,0.07467691,0.14470533
0.00061314,-0.66585219,-0.01920213,0.07509272,0.14190181
0.00202254,-0.66662955,-0.03435022,0.07550214,0.13923502
0.00324060,-0.66741765,-0.04831832,0.07590599,0.13669790
0.00426994,-0.66821736,-0.06115593,0.07630505,0.13428347
0.00511320,-0.66902941,-0.07291256,0.07670015,0.13198470
0.00577300,-0.66985458,-0.08363769,0.07709208,0.12979457
0.00625196,-0.67069376,-0.09338084,0.07748166,0.12770607
0.00655272,-0.67154771,-0.10219149,0.07786968,0.12571217
0.00667790,-0.67241716,-0.11011915,0.07825696,0.12380586
0.00663013,-0.67330295,-0.11721331,0.07864430,0.12198013
0.00641203,-0.67420590,-0.12352347,0.07903250,0.12022796
0.00602623,-0.67512679,-0.12909913,0.07942238,0.11854233
0.00547535,-0.67606640,-0.13398980,0.07981473,0.11691622
0.00476203,-0.67702556,-0.13824494,0.08021037,0.11534263
0.00388889,-0.67800504,-0.14191408,0.08061010,0.11381453
0.00285855,-0.67900562,-0.14504673,0.08101472,0.11232490
0.00167364,-0.68002814,-0.14769235,0.08142505,0.11086673
0.00033680,-0.68107337,-0.14990047,0.08184188,0.10943301
-0.00114937,-0.68214208,-0.15172057,0.08226603,0.10801671
-0.00278222,-0.68323511,-0.15320216,0.08269829,0.10661082
-0.00455913,-0.68435329,-0.15439472,0.08313949,0.10520831
-0.00685591,-0.68530935,-0.15614051,0.08360591,0.10466016
-0.00929528,-0.68647432,-0.15656349,0.08426800,0.10374585
-0.01364885,-0.68746948,-0.15688919,0.08494738,0.10236260
-0.01774237,-0.68857390,-0.15644664,0.08535337,0.10041828
-0.02157584,-0.68976879,-0.15913586,0.08568406,0.09849953
-0.02665133,-0.69122297,-0.16109063,0.08610532,0.09588760
-0.03114077,-0.69235468,-0.16303253,0.08663601,0.09321781
-0.03507272,-0.69327426,-0.16482891,0.08735119,0.08990143
-0.03845984,-0.69487399,-0.16638897,0.08781733,0.08671878
-0.04131480,-0.69680774,-0.16851372,0.08857119,0.08373292
-0.04365025,-0.69870967,-0.17028737,0.08934007,0.08036934
-0.04398985,-0.70013165,-0.17278755,0.08981173,0.07772213
-0.04414548,-0.70176095,-0.17539288,0.09033987,0.07546440
-0.04411713,-0.70357293,-0.17806716,0.09077339,0.07417408
-0.04390482,-0.70554286,-0.18148622,0.09127425,0.07373469
-0.04350853,-0.70764607,-0.18445897,0.09183191,0.07358792
-0.04292827,-0.70985782,-0.18764862,0.09257758,0.07403883
-0.04216404,-0.71215343,-0.19101904,0.09332944,0.07456177
-0.04121584,-0.71480078,-0.19453411,0.09407815,0.07517461
-0.04008367,-0.71742159,-0.19815771,0.09438907,0.07517689
-0.03876752,-0.72018445,-0.20199107,0.09476677,0.07452530
-0.03726741,-0.72272885,-0.20611231,0.09554955,0.07444736
-0.03558332,-0.72505623,-0.21012938,0.09675565,0.07425652
-0.03371526,-0.72737628,-0.21429636,0.09806016,0.07472146
-0.03166323,-0.72994012,-0.21800001,0.09945501,0.07492947
-0.02942723,-0.73242903,-0.22169247,0.10078743,0.07506974
-0.02700725,-0.73524123,-0.22557659,0.10187415,0.07490428
-0.02263217,-0.73809308,-0.22903772,0.10304561,0.07475059
-0.01844210,-0.74145085,-0.23236284,0.10414993,0.07463729
-0.01442199,-0.74450654,-0.23579203,0.10534541,0.07543378
-0.01026158,-0.74831420,-0.23998490,0.10661945,0.07612310
