J1,J2,J3,J4,J5
-0.00056834,0.00000000,70.75144958,0.00000000,1.76993346
0.00001459,0.00000000,70.77390289,-0.00118064,1.79228973
0.00029138,0.00000000,35.24711227,0.00000142,-34.87351990
0.00028965,0.00057930,-0.21677399,-0.00114795,-35.96586990
-0.00000142,-0.00000283,-0.08120728,0.00001132,-0.11482239
-0.00029138,-0.00058275,-35.66708755,0.00233100,-35.63227463
0.00000000,-0.00058435,-36.51322556,0.00000000,-35.59955597
0.00056510,0.00110612,34.08005905,-0.00113021,-0.00113021
-0.00001947,0.00111300,0.02274704,0.00003894,0.00003894
-0.00030066,-0.00115346,-34.86009598,0.00116985,0.00060131
-0.00030284,-0.00056792,-0.20086670,0.00000000,0.00001888
-0.00029036,0.00000000,-36.06311417,0.00116568,0.00058178
-0.00028480,-0.00115403,-0.48973846,0.00116887,0.00057701
0.00029379,0.00058757,35.34989929,-0.00232496,-0.00000317
0.00057885,0.00115771,-35.66484833,-0.00231966,-0.00116196
-0.00029071,-0.00058142,-35.55269241,0.00232710,0.00058213
0.00000000,0.00000000,-0.00234120,0.00005748,0.00002874
0.00029265,0.00058530,0.00000000,-0.00228372,-0.00055656
-0.00028744,-0.00057488,0.00000000,0.00115754,0.00058266
-0.00000141,-0.00000281,-0.00231475,0.00116019,-0.00057869
0.00028776,-0.00000563,0.00001126,0.00000000,0.00058397
-0.00087378,-0.00115841,-0.00001988,0.00233670,0.00174259
-0.00058533,0.00000000,-0.00234131,0.00234131,0.00058533
0.00028934,0.00000000,0.00000000,-0.00115737,-0.00115737
0.00029135,0.00056609,0.00226436,-0.00116538,-0.00116538
0.00000000,0.00056635,0.00226540,-0.00116379,0.00058190
0.00028381,-0.00056763,0.00000000,-0.00002767,0.00001384
0.00028656,0.00055680,0.00000000,0.00001631,-0.00057311
0.00058913,0.00111946,0.00000000,-0.00229773,-0.00058913
0.00000072,-0.00116230,-0.00232460,-0.00000144,0.00058043
-0.00087213,-0.00057999,-0.00232425,0.00116213,0.00057999
-0.00029080,0.00058160,0.00233066,0.00000000,-0.00058160
0.00058293,0.00000000,0.00466060,-0.00116586,-0.00058293
-0.00000178,0.00000000,-0.00000712,0.00000356,-0.00058231
-0.00030972,-0.00056230,-0.00461271,0.00118175,0.00112460
-0.00001340,-0.00056274,-0.00225095,0.00117906,0.00053594
0.00000196,0.00058570,0.00234281,0.00116355,-0.00058177
0.00000090,0.00058517,0.00000717,-0.00116675,0.00000000
-0.00029222,-0.00058195,-0.00233778,-0.00000498,0.00058195
0.00029142,-0.00058249,0.00233135,-0.00000070,-0.00000035
0.00058302,0.00058356,0.00232993,-0.00233208,-0.00058248
0.00000071,0.00000142,-0.00232888,0.00116159,0.00058222
-0.00029071,0.00000464,0.00001857,0.00115355,-0.00000464
-0.00029004,0.00116659,0.00234603,-0.00117301,-0.00058651
0.00000937,-0.00001875,0.00238314,-0.00119157,-0.00059578
0.00030057,-0.00116263,0.00015860,-0.00007930,0.00052184
-0.00029442,0.00002338,-0.00226179,0.00230856,0.00054207
-0.00029142,-0.00000037,-0.00233282,0.00116567,0.00000037
0.00000000,-0.00058356,-0.00000713,-0.00116355,0.00000178
0.00058275,0.00058275,-0.00000280,-0.00116409,-0.00058205
0.00029128,0.00058257,-0.00233027,0.00116516,0.00000000
-0.00029151,0.00000000,0.00464993,0.00000356,0.00000000
0.00000000,0.00000000,0.00243661,-0.00117444,0.00056529
-0.00029348,0.00000000,-0.00460933,0.00117392,0.00056538
0.00000106,0.00000000,-0.00232392,-0.00000426,-0.00058311
0.00000477,0.00000000,0.00230172,-0.00116994,-0.00058497
0.00029663,0.00000000,0.00464017,0.00000000,0.00000000
-0.00000071,0.00000000,-0.00000284,0.00116551,0.00000000
0.00000142,0.00058364,0.00000569,-0.00117013,-0.00058364
0.00002342,-0.00054236,0.00009368,-0.00122524,-0.00002342
-0.00027185,-0.00113209,-0.00461774,0.00113209,0.00115444
0.00058257,0.00058222,-0.00000284,0.00000000,0.00000071
0.00000195,0.00116284,0.00465138,-0.00115895,-0.00116284
-0.00029000,-0.00000177,-0.00000709,0.00000354,0.00000177
0.00000000,0.00000000,0.00000000,0.00000000,0.00058133
-0.00029280,0.00057991,0.00231964,0.00001140,0.00000000
-0.00029493,-0.00056739,-0.00226954,0.00117971,0.00056739
0.00029398,-0.00115597,-0.00462386,0.00117593,0.00056800
0.00029151,-0.00000035,-0.00000140,0.00000070,-0.00058267
0.00029151,0.00116568,0.00466273,-0.00349738,-0.00058267
0.00000088,-0.00057985,0.00000704,-0.00000704,0.00000000
-0.00087395,-0.00116339,-0.00465919,0.00465919,0.00058310
-0.00000249,0.00058088,-0.00000995,-0.00231358,0.00000249
0.00086857,0.00114786,0.00459145,-0.00359714,-0.00114786
-0.00001660,-0.00062437,-0.00249748,0.00348062,0.00062437
-0.00087502,-0.00174861,-0.00699443,0.00349722,0.00116479
-0.00029306,-0.00000212,-0.00000849,0.00116799,-0.00000000
0.00058107,0.00116215,0.00233493,-0.00115683,-0.00000000
0.00028899,0.00057797,0.00234026,-0.00232608,-0.00058507
-0.00029164,-0.00058329,0.00000000,0.00000000,0.00000000
-0.00001240,0.00053996,-0.00009919,0.00004959,0.00002480
0.00057598,0.00113177,0.00460782,-0.00113177,-0.00056589
-0.00029359,-0.00116728,-0.00001418,0.00000000,0.00000000
-0.00029181,-0.00000140,-0.00000280,-0.00116445,0.00000000
0.00058267,0.00116427,0.00232854,-0.00116427,-0.00058320
0.00000018,-0.00058266,-0.00233064,0.00116532,-0.00000036
0.00000000,-0.00058275,-0.00466200,34.48718262,0.00058275
0.00001441,0.00056123,-0.00011526,34.93224335,-0.00056123
-0.00057536,-0.00002774,-0.00011098,-34.86809540,0.00061698
-0.00000159,-0.00058301,0.00230661,-34.51658249,0.00000636
0.00029014,0.00000000,0.00231543,-0.00348446,-0.00116054
0.00000000,0.00058453,-0.00232107,-0.00116054,0.00000000
0.00029147,0.00058364,0.00000000,0.00116587,0.00000000
0.00000161,-0.00116141,0.00000000,0.00232924,0.00058070
-0.00057566,-0.00117494,0.00000000,34.50239944,0.00115133
0.00000706,0.00000000,-0.00232127,69.71718597,0.00056619
0.00057676,0.00057676,-0.00000004,-0.35580826,-0.00057676
0.00028724,0.00174174,0.00463243,-34.54088974,-0.00115811
0.00000000,0.00057822,0.00232284,0.51210403,0.00000249
-0.00029089,-0.00174639,0.00000000,-0.08497620,0.00058284
-0.00000018,-0.00000072,-0.00232708,35.70903397,0.00000000
-0.00000125,0.00057873,-0.00232494,-0.01727295,0.00000000
-0.00029200,-0.00000356,0.00000000,-71.51739502,-0.00058044
-0.00028222,0.00002259,-0.00225779,-36.14723969,-0.00002259
0.00001147,-0.00056436,0.00009174,35.94487762,0.00056436
-0.00028952,-0.00058045,-35.44665527,35.66671753,0.00058045
0.00057710,0.00057710,-35.45654678,-35.45113373,-0.00057710
0.00057355,-0.00000992,35.63282013,-35.46000671,-0.00057355
-0.00029178,-0.00058356,35.52709579,0.00116925,0.00058249
-0.00029271,-0.00000213,-0.00233313,35.24082184,0.00058328
-0.00001302,0.00055998,0.00223992,35.44430161,0.00001302
-0.00030262,-0.00002109,0.00225228,0.53910828,0.00001054
-0.00029036,-0.00058108,-0.00465279,0.53376389,-0.00000035
0.00058231,0.00058231,-0.00000992,-35.56876755,-0.00116213
-0.00029155,-0.00058310,0.00231825,-35.58517456,0.00058664
0.00028586,0.00057173,0.00000000,0.00000000,0.00001199
-0.00000600,-0.00001199,-0.00233487,0.00116744,0.00059571
-0.00001195,-0.00059717,0.00224526,-0.00112263,0.00060912
-0.00001090,-0.00001090,0.00225049,0.00004362,-0.00056262
-0.00058276,-0.00000426,-0.00233103,0.00117403,0.00058276
-0.00029151,-0.00000459,-0.00466409,0.00117521,0.00000000
0.00000054,-0.00058159,-0.00232204,0.00232636,0.00058267
0.00029116,0.00058266,0.00232926,-0.00116531,-0.00058299
0.00028969,0.00058363,0.00231754,-0.00232604,-0.00116727
0.00057732,0.00057103,0.00233443,-0.00230927,-0.00057103
0.00000750,0.00057793,0.00000000,-0.00003001,-0.00001501
0.00001486,-0.00058904,0.00235615,-0.00123751,-0.00002972
0.00029067,-0.00058134,-0.00000279,0.00000279,0.00000070
-0.00086645,-0.00057763,-0.00695415,0.00464362,0.00116091
-0.00057639,-0.00057816,0.00002825,-0.00001412,-0.00000353
0.00116442,0.00116583,0.00930413,-0.00581789,-0.00116302
-0.00001184,-0.00001578,-0.00006313,0.00122362,0.00000789
-0.00117253,-0.00175083,-0.00700331,0.00587859,0.00115659
0.00001128,0.00002257,0.00009027,-0.00121953,-0.00002257
0.00029369,0.00115149,0.00460596,-0.00234950,-0.00058737
0.00056304,0.00113520,0.00003648,-0.00225216,-0.00056304
-0.00003132,-0.00003132,-0.00223035,0.00130312,0.00003132
-0.00058701,-0.00115012,0.00000000,0.00464828,0.00058701
0.00028337,-0.00000305,0.00000000,0.00000609,0.00000000
0.00057404,0.00056109,0.00000000,-0.00229618,0.00000000
0.00001024,0.00000000,-0.00226053,-0.00117122,0.00000000
-0.00028612,0.00000000,-0.00003252,-0.00112823,0.00056412
0.00000000,0.00000000,-0.00012728,0.00124387,0.00055830
-0.00027753,-0.00055507,-0.00236494,33.18645096,0.00000000
0.00028551,0.00057102,-34.87897110,33.24892426,-0.00113398
0.00056022,0.00053692,-34.14020920,-34.86902618,-0.00053692
-0.00057582,-0.00115405,35.42335129,-34.15269470,0.00115405
-0.00030214,0.00053756,35.48541260,0.00008896,0.00002224
-0.00001094,-0.00004377,-35.12260818,-0.00223953,0.00002189
0.00028386,-0.00000975,-35.19032669,0.00000000,0.00000488
0.00029732,0.00059465,-0.68756485,0.00112270,-0.00057800
-0.00057171,-0.00114342,-0.22951889,0.00111877,0.00058403
-0.00000828,-0.00001656,0.84046173,33.98498535,0.00001656
0.00028468,0.00113940,0.93400192,34.00386047,-0.00056935
0.00029012,0.00056645,-0.44853592,0.44507980,-0.00058023
-0.00057762,-0.00115456,-0.50029755,0.49914169,0.00057797
0.00001480,0.00001973,0.49528885,-0.49531174,-0.00001973
0.00031033,0.00060351,0.04858017,34.27368927,-0.00060351
-0.00085994,-0.00114590,-0.49747467,35.04242325,0.00114590
0.00029197,-0.00057079,0.01853180,-34.83160400,-0.00000657
0.00028283,0.00058176,35.41453171,-34.11896133,0.00000805
35.98924255,0.00057833,-1.00225067,36.48707199,0.00057833
35.89131927,0.00058445,-71.66357422,-0.10012436,-0.00116889
-35.78022766,-0.00115693,-0.13259506,-36.17016983,-0.00058919
-35.91210175,-0.00116707,36.91300201,34.55421829,0.00058230
0.00056412,0.00115008,1.21069717,0.28864670,0.00000000
-0.00032313,-0.00002787,-0.97515488,-33.78476334,0.00059051
-0.00029731,0.00057479,-36.82748413,1.03857803,0.00000496
0.00087224,0.00115895,0.03802872,-35.79385376,-0.00057948
35.63816452,0.00000000,35.95376587,-35.75507355,-0.00116104
35.68669891,-0.00058222,0.18841171,35.73202896,0.00000144
-35.73117065,0.00000000,-0.08381271,71.50715637,0.00116408
-35.68727112,-0.00000214,-0.03001022,35.88517761,0.00058365
35.93328476,-0.00116729,0.04654694,-35.79051208,0.00058258
35.93355179,-0.00116747,-0.02336121,-35.93293381,0.00058285
-35.91160965,0.00000141,0.05845642,0.00471115,-0.00058575
-0.16306686,0.00174845,0.03755569,-0.07787323,-0.00175128
35.69901276,0.00116481,-0.35682678,-0.20862961,0.00000070
-36.13680267,-0.00058777,-36.30189896,-36.13621521,0.00058132
0.19990158,-0.00058822,0.06232452,0.19961929,-0.00057999
36.47180939,-0.00059285,36.87968826,36.47420120,0.00120008
-0.23531342,-0.00003395,-34.25732803,-0.23456192,0.00066575
-0.88201523,-0.00002171,0.14417267,-0.88397598,-0.00113376
-36.15499878,-0.00000072,35.12826920,-0.26023102,0.00000000
0.16539383,0.00058221,-0.02783966,0.03248215,0.00000000
35.98313904,0.00000000,0.16347122,-35.97058868,0.00000000
-35.80801392,0.00058169,0.10070419,-0.22997284,0.00000000
-0.13231659,-0.00000070,0.00003815,35.79757690,0.00000000
35.73077011,-0.00058311,-35.79685593,-35.75268936,0.00000000
-35.86229324,0.00000000,0.03266525,-35.73257446,0.00000000
-0.13175583,0.00000000,35.96167374,0.00000000,0.00000000
35.75158310,-0.00116513,-35.59487152,0.00233026,0.00116513
